Id,Predicted
The Iron Giant ,6.670676692
Baby's Day Out ,5.555882353
Gamer ,6.670676692
Chappie ,6.670676692
The Tooth Fairy ,4.955357143
3:10 to Yuma ,7.053020134
The Thomas Crown Affair ,5.893103448
America's Sweethearts ,5.555882353
Courage Under Fire ,5.893103448
The Muppets ,6.12016129
Blended ,5.893103448
The Bounty Hunter ,6.790322581
Pinocchio ,6.864347826
42 ,6.408823529
Vantage Point ,6.790322581
Shall We Dance ,5.893103448
The Prestige ,8.373846154
Gothika ,6.12016129
Amistad ,6.667619048
The Guilt Trip ,5.288105727
Scream 4 ,6.670676692
Pay It Forward ,6.790322581
A Million Ways to Die in the West ,7.039655172
Morning Glory ,5.893103448
Memoirs of an Invisible Man ,5.288105727
Soul Men ,5.288105727
The Ugly Truth ,6.670676692
Sgt. Bilko ,5.288105727
The Express ,6.408823529
What to Expect When You're Expecting ,5.893103448
Cop Out ,6.144660194
Hot Tub Time Machine ,6.670676692
Aloha ,6.144660194
Ghosts of Mississippi ,6.667619048
A Nightmare on Elm Street ,7.754166667
Radio ,6.144660194
Must Love Dogs ,5.288105727
The Bad News Bears ,5.88
Hot Pursuit ,5.555882353
Lions for Lambs ,5.555882353
Stigmata ,5.154545455
Cats Don't Dance ,5.288105727
The Good German ,6.144660194
Going the Distance ,5.555882353
Vacation ,6.12016129
The Addams Family ,6.790322581
Glory Road ,6.667619048
Sicario ,7.396808511
The Age of Adaline ,6.667619048
Little Shop of Horrors ,5.555882353
Hanna ,6.913445378
What's the Worst That Could Happen? ,5.288105727
Virtuosity ,6.144660194
Love & Other Drugs ,6.913445378
88 Minutes ,6.144660194
Mumford ,6.213186813
Straight Outta Compton ,6.913445378
Blade Runner ,7.679518072
3 Days to Kill ,6.667619048
The Right Stuff ,6.667619048
Shakespeare in Love ,7.396808511
Open Range ,6.667619048
Pain & Gain ,6.913445378
The Passion of the Christ ,7.396808511
The Best of Me ,6.667619048
Agent Cody Banks ,5.288105727
Money Talks ,5.288105727
There Will Be Blood ,7.396808511
He Got Game ,6.667619048
Don Juan DeMarco ,5.555882353
Lords of Dogtown ,6.144660194
Mrs. Winterbourne ,6.213186813
Tank Girl ,5.288105727
King's Ransom ,5.545454545
Jane Got a Gun ,5.288105727
Old School ,7.396808511
The Fisher King ,6.667619048
"Girl, Interrupted ",6.913445378
Muppets from Space ,5.288105727
Play It to the Bone ,6.667619048
I Don't Know How She Does It ,6.157142857
Zombieland ,7.679518072
Marvin's Room ,5.288105727
Vanity Fair ,6.667619048
Spaceballs ,7.754166667
Delivery Man ,6.144660194
The Conjuring ,7.396808511
White Chicks ,6.790322581
Lakeview Terrace ,6.144660194
Vampires Suck ,5.555882353
Nancy Drew ,5.288105727
Shorts ,5.288105727
Psycho ,7.679518072
Under the Rainbow ,5.288105727
The Weather Man ,6.12016129
Ghost Town ,6.12016129
We're No Angels ,6.144660194
People I Know ,5.288105727
Take Me Home Tonight ,6.33
Indignation ,5.62
Deuce Bigalow: Male Gigolo ,6.12016129
My Big Fat Greek Wedding 2 ,5.288105727
Peggy Sue Got Married ,5.288105727
Honey ,5.555882353
Small Time Crooks ,5.288105727
Youth in Revolt ,6.12016129
The Salton Sea ,5.288105727
Let's Be Cops ,6.913445378
Good Boy! ,5.288105727
Lottery Ticket ,5.288105727
ATL ,6.144660194
Fur: An Imaginary Portrait of Diane Arbus ,6.667619048
Sense and Sensibility ,6.667619048
Dead Poets Society ,7.754166667
The Women ,6.667619048
Boys and Girls ,5.288105727
How to Deal ,5.288105727
Philadelphia ,7.754166667
Why Did I Get Married? ,6.667619048
The Great Debaters ,6.667619048
The Object of My Affection ,6.667619048
When the Game Stands Tall ,6.667619048
The Place Beyond the Pines ,7.396808511
One Day ,6.913445378
The Midnight Meat Train ,6.864347826
The Good Night ,5.545454545
Pretty Woman ,7.754166667
My Bloody Valentine ,5.936
Stomp the Yard ,6.144660194
Poetic Justice ,6.144660194
Thinner ,6.437755102
Margaret ,6.667619048
Justin Bieber: Never Say Never ,6.667619048
10 Things I Hate About You ,7.396808511
Loaded Weapon 1 ,6.864347826
Admission ,6.144660194
Antwone Fisher ,6.949193548
The Exorcist ,7.754166667
Jaws ,7.679518072
Act of Valor ,6.949193548
Harold & Kumar Escape from Guantanamo Bay ,6.913445378
Max Keeble's Big Move ,5.88
Sorority Boys ,5.88
For Your Consideration ,6.437755102
Running with Scissors ,6.949193548
The Pursuit of D.B. Cooper ,5.829411765
The Dangerous Lives of Altar Boys ,6.437755102
Tomcats ,6.437755102
Inside Llewyn Davis ,6.913445378
September Dawn ,6.213186813
Good Will Hunting ,8.373846154
Saw III ,6.913445378
Commando ,7.754166667
Pete's Dragon ,5.288105727
The Long Riders ,5.88
Seeking a Friend for the End of the World ,6.864347826
Rescue Dawn ,6.949193548
The Forest ,4.955357143
The Joneses ,5.92875
Rosewater ,5.92875
Elsa & Fred ,6.328571429
Eulogy ,5.545454545
Next Friday ,5.88
Re-Kill ,5.545454545
Fiddler on the Roof ,7.678947368
Detention ,5.92875
The Sound of Music ,7.754166667
Drive Me Crazy ,5.88
The Wendell Baker Story ,6.328571429
Witless Protection ,6.328571429
The Godfather ,8.373846154
Who's Your Caddy? ,4.507142857
Redbelt ,5.92875
Stargate: The Ark of Truth ,5.288105727
Dazed and Confused ,7.754166667
Bernie ,6.864347826
Ouija ,5.92875
"20,000 Leagues Under the Sea ",7.678947368
Oculus ,5.936
"As Above, So Below ",5.936
Friday the 13th Part VIII: Jason Takes Manhattan ,4.528571429
Diner ,6.949193548
The Forsaken ,4.955357143
Rabbit Hole ,6.864347826
Green Room ,5.92875
Dead Like Me: Life After Death ,4.507142857
Capricorn One ,6.949193548
Hostel ,6.913445378
25th Hour ,6.913445378
Silent Movie ,5.88
Hansel & Gretel Get Baked ,5.545454545
The Front Page ,6.882142857
The Rules of Attraction ,6.949193548
Topaz ,7.678947368
Samsara ,5.985714286
Trust ,6.949193548
Another Happy Day ,5.62
Midnight Cowboy ,7.678947368
The Nun's Story ,6.882142857
Harper ,6.882142857
The Original Kings of Comedy ,6.213186813
Dave Chappelle's Block Party ,6.437755102
Next Day Air ,4.507142857
Bachelorette ,6.864347826
Enter the Dangerous Mind ,5.390909091
Pocketful of Miracles ,6.882142857
Hustle & Flow ,6.949193548
The Wizard of Oz ,7.754166667
A Guy Named Joe ,6.882142857
Timber Falls ,4.955357143
That Thing You Do! ,6.667619048
Get on the Bus ,6.213186813
Friday the 13th: A New Beginning ,4.955357143
It Follows ,6.913445378
Full Frontal ,6.437755102
Sherrybaby ,6.437755102
Rockaway ,5.545454545
The Marine 4: Moving Target ,5.545454545
"Happy, Texas ",6.437755102
Kids ,6.864347826
Kissing Jessica Stein ,6.437755102
The Believer ,6.437755102
Snow Angels ,6.144660194
Session 9 ,5.936
Hatchet ,6.437755102
Checkmate ,6.328571429
The Hebrew Hammer ,5.390909091
C.H.U.D. ,4.955357143
Extreme Movie ,5.390909091
Sands of Iwo Jima ,6.882142857
Next Stop Wonderland ,6.27
Obvious Child ,5.288105727
Frozen River ,5.92875
Special ,4.621052632
Hits ,4.621052632
Black Rock ,4.955357143
Charly ,6.207692308
The Brass Teapot ,4.621052632
Safety Not Guaranteed ,6.913445378
L.I.E. ,6.27
Adulterers ,4.621052632
To Save a Life ,5.62
Beyond the Mat ,6.213186813
The Little Ponderosa Zoo ,3.977777778
42nd Street ,7.113043478
Paranormal Activity ,7.396808511
I Want Your Money ,7.377777778
The Broadway Melody ,7.113043478
Pieces of April ,6.437755102
Lovely & Amazing ,6.437755102
Death Calls ,4.528571429
An American Girl Holiday ,6.207692308
A Charlie Brown Christmas ,7.113043478
Facing the Giants ,6.949193548
The Call of Cthulhu ,4.621052632
Raymond Did It ,4.955357143
